年別,行政區,所得收入者人數,[一]所得收入總計[NT],1.受僱人員報酬[NT],[1]本業薪資[NT],[2]兼業薪資[NT],[3]其他收入[NT],2.產業主所得[NT],[1]農業淨收入[NT],[2]營業淨收入[NT],[3]執行業務淨收入[NT],3.財產所得收入[NT],4.自用住宅設算租金收入[NT],5.經常移轉收入[NT],[1]從私人[NT],[2]從政府[NT],[3]社會保險受益[NT],[4]從企業[NT],[5]從國外[NT],6.雜項收入[NT],[二]非消費支出[NT],1.利息支出[NT],2.經常移轉支出[NT],[1]對私人[NT],[2]對政府[NT],[3]社會保險[NT],[4]對國外[NT],[三]可支配所得[NT]
98年,總平均,1572205,874274,523023,384362,35379,103282,102789,34,95400,7354,68993,65245,114090,65147,18641,28518,1133,651,135,151706,13059,138647,48998,31606,53520,4523,722568
98年,松山區,125772,983696,651046,475802,43105,132138,72394,-,72394,-,91113,75009,94093,48265,17559,28154,115,-,40,192376,15849,176527,56529,51833,59898,8268,791320
98年,信義區,134357,846981,518682,373325,44192,101165,63379,-,60978,2400,93317,47550,124040,78185,15899,29956,-,-,13,135603,14744,120859,46192,23923,50126,618,711378
98年,大安區,179004,1126388,662754,455016,78520,129218,110766,-,93328,17438,132106,103097,117622,64565,16588,35165,1304,-,42,203958,13859,190098,58273,54604,63425,13796,922430
98年,中山區,139934,875535,468254,332651,43342,92261,183568,-,164927,18641,58938,63418,101047,58748,17192,25080,-,27,309,143924,23445,120478,38636,31259,50226,357,731611
98年,中正區,103467,999317,649915,477327,40007,132581,95862,-,87910,7952,77801,52777,122914,78274,16894,27681,65,-,48,187697,7232,180465,70879,41144,65233,3210,811621
98年,大同區,70834,778227,410041,325029,6895,78117,116888,-,113171,3717,41985,63062,146235,80420,21432,44151,233,-,15,134128,8673,125456,56377,23589,44796,694,644098
98年,萬華區,110181,677071,398569,319642,8751,70176,74946,-,74946,-,36298,51767,115417,67534,24561,22393,731,198,74,106740,6989,99750,36094,17888,45008,760,570331
98年,文山區,158635,812875,528723,390418,24801,113503,67971,-,62531,5440,40601,69589,105756,54103,23296,24995,3362,-,234,145287,16705,128583,44855,26158,53532,4038,667587
98年,南港區,64554,735662,428104,343722,17085,67297,99048,-,99048,-,31465,49315,127609,71565,20872,27464,7708,-,122,131877,5060,126817,60845,20421,44994,557,603785
98年,內湖區,157456,871495,566213,421033,31514,113666,89648,-,82009,7639,54683,62546,97960,56729,15369,25823,30,9,444,144660,12979,131681,44335,26956,60114,276,726835
98年,士林區,181781,816195,444894,332169,24500,88225,135556,26,122558,12972,63354,65385,106883,56466,20716,28141,1559,-,123,135536,9836,125699,41551,27597,47598,8953,680659
98年,北投區,146232,805042,443320,327343,28034,87943,109962,334,109628,-,61251,53601,136886,85039,16319,27954,754,6820,21,135339,12677,122661,47870,21759,48547,4485,669703
99年,總平均,1630686,884546,541638,393629,34817,113192,93450,1219,84815,7416,67347,65428,116462,70219,16253,28189,746,1055,220,143433,13378,130054,38729,30381,59330,1614,741113
99年,松山區,132748,893236,508047,360872,50450,96725,115517,-,83115,32403,57630,67259,144374,96694,15313,32189,178,-,408,128422,11205,117217,37621,27951,51293,352,764814
99年,信義區,145478,928608,597971,433076,41273,123622,104904,-,98498,6407,53406,66465,105692,63152,15051,26378,831,281,169,150984,17364,133620,33102,35735,63498,1286,777624
99年,大安區,194203,1076643,715859,502739,63805,149315,73174,-,59314,13859,103931,86666,96838,49082,15301,28608,139,3708,176,182983,10392,172590,51075,45447,72555,3513,893660
99年,中山區,150532,854893,520250,373670,31490,115091,90665,-,74198,16467,74574,64621,104577,62021,16139,26319,98,-,205,156369,16513,139856,41920,37000,57338,3599,698523
99年,中正區,101157,988329,536326,377985,49009,109331,116382,-,116382,-,92618,67648,174961,127383,17768,22942,256,6612,395,134054,7483,126572,44542,28067,53321,642,854274
99年,大同區,82942,716859,368745,289291,6768,72686,110759,-,106188,4571,55499,61822,119916,80802,13460,24787,745,123,117,116373,20855,95518,27992,18583,48726,217,600486
99年,萬華區,109522,759276,449051,331603,28747,88700,86743,-,86743,-,59953,56508,106876,59991,12750,31628,2508,-,145,122532,10836,111696,33463,22511,55540,182,636744
99年,文山區,165374,849521,590374,438554,22207,129613,53205,7064,44979,1161,52036,56383,97435,47693,16976,30621,733,1412,89,153065,20064,133001,39249,26169,66343,1240,696456
99年,南港區,68695,769166,455242,341555,20233,93454,117795,-,117795,-,36712,61423,97968,59218,14212,23823,715,-,26,111365,7773,103592,26711,21397,55377,106,657801
99年,內湖區,151860,915156,610106,446542,29987,133577,79533,-,79533,-,62540,69136,93510,45649,15442,31184,1234,-,331,155745,15571,140174,40491,30767,65843,3073,759411
99年,士林區,171130,892780,519826,378837,26399,114591,102792,2223,94032,6537,80245,57220,132475,84829,18562,28697,112,275,221,144003,9684,134320,42926,33234,56233,1927,748776
99年,北投區,157046,785110,426239,317841,26373,82025,107706,2800,104906,-,51566,60760,138555,89475,20793,26434,1852,-,284,114082,11152,102930,30583,20598,51352,398,671029
100年,總平均,1683116,857732,547253,392977,36021,118256,85470,315,85155,-,69402,63649,91824,42707,16354,31855,471,437,133,153708,11789,141919,39357,38754,60991,2817,704024
100年,松山區,123457,943463,575667,372725,79092,123851,97611,-,97611,-,93849,72583,103558,39392,17214,46916,36,-,195,150749,10784,139965,42794,36204,60683,284,792714
100年,信義區,150371,824527,523716,390685,31919,101112,84432,-,84432,-,61526,57469,97268,56557,14622,25641,448,-,116,137205,13836,123368,37320,25116,56067,4865,687322
100年,大安區,204345,1034557,636998,449613,57103,130282,55037,-,55037,-,172140,72431,97914,42726,14685,38992,763,748,37,217223,10191,207031,43928,92181,69335,1587,817335
100年,中山區,153986,898630,527365,375423,22251,129690,124360,-,124360,-,65671,73054,108097,55944,13119,37905,1129,-,83,167030,14442,152588,44207,43720,59020,5640,731600
100年,中正區,108196,936721,608366,426675,48674,133017,105586,1955,103632,-,71771,69726,81256,31091,14368,32174,2689,933,15,172833,9767,163066,37829,51592,67805,5841,763888
100年,大同區,75056,776063,445459,326630,8806,110023,136669,-,136669,-,49895,68801,74769,35963,13807,24607,393,-,469,130129,9288,120840,51198,16762,52670,209,645934
100年,萬華區,118042,712730,401990,305013,18903,78074,132328,-,132328,-,29462,44687,103942,47153,28494,28100,195,-,321,101959,3787,98171,32743,18215,46926,287,610772
100年,文山區,168227,830247,579936,405909,45660,128367,39296,-,39296,-,58938,67534,84477,39469,16565,25496,82,2865,66,143952,10220,133732,33773,37771,59289,2899,686295
100年,南港區,77644,671034,465867,364294,11789,89784,72434,-,72434,-,17859,39490,75203,38704,12946,23554,-,-,180,109433,12753,96680,26654,16097,53652,277,561601
100年,內湖區,167876,857840,612261,443265,23067,145929,48837,-,48837,-,35865,67889,92864,46275,13689,32900,-,-,124,161948,18093,143855,41433,30352,70349,1721,695892
100年,士林區,169836,869331,547123,394890,29066,123167,123370,-,123370,-,57582,59216,81993,32931,21998,26940,124,-,49,160269,14451,145818,45524,32097,65297,2899,709063
100年,北投區,166079,760242,504264,374773,32534,96957,60364,1921,58443,-,51757,57880,85780,39327,14454,31925,74,-,196,130872,10368,120504,32060,25720,57846,4877,629370
101年,總平均,1721248,870874,553245,400942,41329,110974,99158,499,98659,-,62092,57484,98819,47105,16212,34707,425,369,76,156250,9974,146276,47444,35218,61665,1950,714623
101年,松山區,136233,964104,626490,448987,49176,128327,120155,-,120155,-,57079,61174,99097,45524,16210,35272,274,1816,108,197408,15914,181494,57849,50559,70955,2131,766696
101年,信義區,156499,869873,583299,437456,33183,112661,95910,-,95910,-,50083,52191,88294,37206,14484,36044,560,-,96,152664,10060,142605,45743,27875,68143,843,717209
101年,大安區,203904,1021570,619257,408198,92400,118659,90336,-,90336,-,128551,73956,109427,52983,18915,36883,645,-,43,185723,8998,176725,60190,56541,59263,731,835846
101年,中山區,159605,861266,565426,394191,62515,108720,93179,-,93179,-,40512,63639,98471,50432,17289,30750,-,-,40,153177,11760,141417,52189,27565,57739,3923,708089
101年,中正區,102473,945214,503675,363970,47141,92564,127105,-,127105,-,116360,53919,143996,83345,16958,38238,2480,2976,159,156247,9953,146294,60224,29589,54687,1793,788967
101年,大同區,80631,776620,465162,348847,26447,89869,117705,-,117705,-,56644,63303,73689,27094,15936,30515,144,-,117,148539,7701,140838,51020,23407,59002,7409,628081
101年,萬華區,115124,770247,459182,340294,30260,88628,123505,-,123505,-,31016,47733,108775,46537,18605,43405,227,-,35,110604,10336,100268,29258,14236,53938,2835,659643
101年,文山區,162659,884700,547569,395288,31416,120865,136133,714,135419,-,69322,51125,80551,28935,16607,34963,47,-,-,171146,13747,157399,52888,37775,66454,282,713554
101年,南港區,75321,723822,474208,377440,10780,85988,63215,338,62877,-,36544,48281,101460,52400,13243,35582,234,-,113,107757,4671,103087,27933,20304,54630,219,616065
101年,內湖區,178099,864630,596792,438236,26769,131787,78388,-,78388,-,42916,58706,87682,39855,13550,34222,56,-,146,160624,10271,150353,40615,44317,63677,1743,704005
101年,士林區,183236,839647,551371,418591,23922,108858,90122,1700,88422,-,41265,55707,101068,53521,15108,31954,486,-,114,153829,6517,147312,45367,37816,62946,1183,685818
101年,北投區,167464,784220,507794,371819,29306,106670,71011,2427,68584,-,55474,50547,99392,51122,16537,30888,355,490,1,133598,7593,126005,36511,26193,60549,2753,650623
102年,總平均,1728211,865669,531453,385983,37626,107844,111207,256,110951,-,54550,57738,110620,51098,16946,40565,453,1558,102,143556,10120,133436,38437,29549,63984,1467,722113
102年,松山區,137327,889661,554837,391922,48670,114246,74456,-,74456,-,72257,65079,123032,60956,19416,42466,194,-,-,129121,7835,121286,36044,28884,55876,483,760539
102年,信義區,149258,886579,558601,405535,41480,111586,116264,-,116264,-,34989,51647,125017,66894,17003,39514,402,1204,61,141926,3884,138042,51276,25944,60617,204,744653
102年,大安區,193457,1152993,661064,472209,58956,129899,148660,-,148660,-,136531,88686,117990,53033,14772,41679,2549,5958,62,210365,14556,195808,53349,59657,82057,745,942628
102年,中山區,149236,853059,514167,385263,20721,108183,104360,-,104360,-,45018,65070,124408,61092,19194,40429,-,3693,35,139348,12064,127284,37573,22745,60864,6102,713711
102年,中正區,112051,911689,584055,384914,93199,105943,93650,-,93650,-,56755,67343,109800,46981,17651,45168,-,-,86,130843,3824,127019,35713,30936,56528,3843,780846
102年,大同區,78389,820520,451293,329407,10703,111183,151578,-,151578,-,61418,41965,114240,57350,17620,38878,391,-,26,146992,8064,138929,28297,25755,84705,172,673527
